No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,stoppage
12310,New Delhi - Rajendra...,1,ECR,4,1,1,1,1,1,1,1,ALD,0:03,NDLS,0:06,1:58,0:03
15120,Manduadih - Rameswar...,3,NER,10,0,1,0,0,0,0,0,ALD,0:05,MUV,0:13,3:30,0:08
12570,Anand Vihar Terminal...,2,ECR,4,1,0,0,1,0,0,0,ALD,0:16,ANVT,0:21,2:17,0:05
22406,Anand Vihar (T) - Bh...,2,NR,4,0,0,1,0,1,0,1,ALD,0:16,ANVT,0:21,0:40,0:05
12309,Rajendra Nagar (Patn...,1,ECR,1,1,1,1,1,1,1,1,ALD,0:25,RJPB,0:28,3:53,0:03
16360,Patna - Ernakulam Ex...,3,SR,6,0,0,0,1,0,0,0,ALD,0:30,PNBE,0:38,2:51,0:08
11038,Gorakhpur - Pune Exp...,3,CR,10,1,0,0,0,0,0,0,ALD,0:30,GKP,0:38,3:07,0:08
11046,Deekshabhoomi Expres...,3,CR,10,0,0,1,0,0,0,0,ALD,0:30,DHN,0:38,0:57,0:08
22684,Lucknow - Yesvantpur...,2,SWR,10,0,0,0,0,0,1,0,ALD,0:30,LKO,0:35,0:34,0:05
19064,Danapur - Udhna Bi W...,3,WR,10,0,1,0,0,1,0,0,ALD,0:30,DNR,0:38,2:48,0:08
12401,Magadh Express,2,NWR,1,1,1,1,1,1,1,1,ALD,0:40,IPR,0:45,1:37,0:05
22970,Varanasi - Okha SF E...,2,WR,10,1,0,0,0,0,0,0,ALD,0:45,BSB,0:50,3:47,0:05
19042,Ghazipur City - Band...,3,WR,2,0,1,0,1,0,0,0,ALD,0:45,GCT,0:53,1:06,0:08
12569,Jaynagar - Anand Vih...,2,ECR,2,0,0,1,0,0,0,1,ALD,0:52,JYG,0:57,3:25,0:05
22405,Bhagalpur - Anand Vi...,2,NR,2,1,0,0,1,0,1,0,ALD,0:52,BGP,0:57,3:04,0:05
16359,Ernakulam - Patna Ex...,3,SR,7,0,0,1,0,0,0,0,ALD,1:00,ERS,1:08,2:37,0:08
11045,Deekshabhoomi Expres...,3,CR,7,1,0,0,0,0,0,0,ALD,1:00,KOP,1:08,1:09,0:08
15119,Rameswaram - Manduad...,3,NER,10,0,0,0,0,0,0,1,ALD,1:00,RMM,1:08,1:59,0:08
7091,Secunderabad - Raxau...,3,SCR,2,0,0,0,0,1,0,0,ALD,1:00,SC,1:08,0:23,0:08
1087,Mumbai LTT - Manduad...,2,CR,9,0,0,0,0,1,0,0,ALD,1:00,LTT,1:05,0:10,0:05
16793,Shraddha Sethu Expre...,3,SR,2,0,0,0,1,0,0,0,ALD,1:00,RMM,1:08,2:54,0:08
12395,Ziyarat Express,2,ECR,3,0,0,0,0,1,0,0,ALD,1:10,RJPB,1:15,3:46,0:05
11105,Pratham Swatantrata ...,3,NCR,3,0,1,0,0,0,0,0,ALD,1:10,KOAA,1:18,0:02,0:08
12540,Lucknow - Yesvantpur...,2,SWR,8,0,0,0,0,0,0,1,ALD,1:15,LKO,1:20,2:03,0:05
12304,Poorva Express (via ...,2,ER,4,1,1,0,0,1,1,0,ALD,1:20,NDLS,1:25,1:43,0:05
12443,Haldia - Anand Vihar...,2,NR,2,0,0,0,0,0,1,0,ALD,1:20,HLZ,1:25,2:34,0:05
22409,Gaya - Anand Vihar T...,2,NR,3,0,1,0,0,0,0,0,ALD,1:20,GAYA,1:25,0:38,0:05
12581,Manduadih - New Delh...,2,NER,6,1,1,1,1,1,1,1,ALD,1:20,MUV,1:25,0:25,0:05
22857,Santragachi - Anand ...,2,SER,2,0,0,1,0,0,0,0,ALD,1:20,SRC,1:25,3:26,0:05
12988,Ajmer - Sealdah SF E...,2,NWR,6,1,1,1,1,1,1,1,ALD,1:50,AII,1:55,0:22,0:05
12539,Yesvantpur - Lucknow...,2,SWR,10,0,0,0,0,0,1,0,ALD,2:10,YPR,2:15,0:46,0:05
12382,Poorva Express (via ...,2,ER,4,0,0,1,1,0,0,1,ALD,2:25,NDLS,2:30,1:05,0:05
2265,Sealdah - Anand Viha...,2,ER,2,1,0,0,0,0,0,0,ALD,2:25,SDAH,2:30,1:55,0:05
14371,Triveni Link Express,3,NR,9,1,1,1,1,1,1,1,ALD,2:30,BRWD,2:38,2:06,0:08
14369,Triveni Express,3,NR,9,1,0,0,1,0,1,0,ALD,2:30,SGRL,2:38,3:30,0:08
24369,Triveni Express,3,NR,9,0,1,1,0,1,0,1,ALD,2:30,SKTN,2:38,2:57,0:08
12250,Anand Vihar Terminal...,2,ER,4,0,1,0,0,0,0,0,ALD,2:34,ANVT,2:39,0:51,0:05
14006,Lichchavi Express (P...,3,NR,6,1,1,1,1,1,1,1,ALD,2:35,ANVT,2:43,2:27,0:08
12301,Howrah - New Delhi R...,1,ER,1,1,0,1,1,1,1,1,ALD,2:43,HWH,2:46,3:09,0:03
12305,Howrah - New Delhi R...,1,ER,1,0,1,0,0,0,0,0,ALD,2:43,HWH,2:46,1:00,0:03
11062,Pawan Express (PT),3,CR,9,1,1,1,1,1,1,1,ALD,2:45,DBG,2:53,1:02,0:08
12423,Dibrugarh Town - New...,1,NR,1,1,1,1,1,1,1,1,ALD,2:53,DBRT,2:56,3:10,0:03
12561,Swatantrata Senani S...,2,ECR,7,1,1,1,1,1,1,1,ALD,3:25,JYG,3:30,3:01,0:05
11067,Saket Express (PT),3,CR,7,1,0,0,0,1,0,0,ALD,3:30,LTT,3:38,0:13,0:08
11067,Saket Link Express (...,3,CR,7,1,0,0,0,1,0,0,ALD,3:30,LTT,3:38,2:36,0:08
4134,Bandra Terminus - Al...*,3,NCR,2,0,0,0,0,0,0,1,ALD,3:30,BDTS,3:38,2:16,0:08
4185,Jhansi - Patna Summe...,3,NCR,2,0,0,0,0,1,0,0,ALD,3:40,JHS,3:48,2:28,0:08
12877,Ranchi - New Delhi G...,2,SER,1,0,0,1,1,0,0,1,ALD,3:43,RNC,3:48,3:34,0:05
12669,Ganga Kaveri Express...,2,SR,6,0,1,0,1,0,0,0,ALD,3:50,MAS,3:55,0:52,0:05
12560,Shiv Ganga Express,2,NER,6,1,1,1,1,1,1,1,ALD,3:50,NDLS,3:55,3:20,0:05
12165,Ratnagiri SF Express...,2,CR,7,0,0,1,0,0,1,1,ALD,3:50,LTT,3:55,1:47,0:05
22427,Bhrigu SF Express,2,NR,6,0,1,0,0,0,0,0,ALD,3:55,BUI,4:00,3:02,0:05
12444,Anand Vihar Terminal...,2,NR,4,0,0,0,1,0,0,0,ALD,4:00,ANVT,4:05,2:30,0:05
11106,Pratham Swatantrata ...,3,NCR,6,0,0,0,0,0,0,1,ALD,4:00,JHS,4:08,3:57,0:08
22410,Anand Vihar Terminal...,2,NR,4,1,0,0,0,0,0,0,ALD,4:00,ANVT,4:05,2:25,0:05
4044,Anand Vihar Terminal...,3,NR,2,0,0,0,0,0,1,0,ALD,4:05,ANVT,4:13,1:35,0:08
12315,Ananya Express (PT),2,ER,1,0,0,0,0,0,1,0,ALD,4:08,KOAA,4:13,0:02,0:05
12349,Bhagalpur - New Delh...,2,ER,1,0,0,1,0,0,0,0,ALD,4:08,BGP,4:13,3:21,0:05
12501,Poorvottar Sampark K...,2,NFR,1,1,0,0,0,1,0,0,ALD,4:08,GHY,4:13,3:17,0:05
15601,Poorvottar Sampark K...,2,NFR,2,0,0,0,1,0,0,0,ALD,4:08,SCL,4:13,2:32,0:05
14019,Tripura Sundari Expr...,3,NR,1,0,0,0,0,0,0,1,ALD,4:08,AGTL,4:16,0:32,0:08
12670,Ganga Kaveri Express,2,SR,9,0,0,1,0,1,0,0,ALD,4:10,CPR,4:15,3:16,0:05
7092,Raxaul - Secunderaba...,3,SCR,2,0,0,0,0,0,0,1,ALD,4:10,RXL,4:18,0:22,0:08
12249,Howrah - Anand Vihar...,2,ER,2,1,0,0,0,0,0,0,ALD,4:18,HWH,4:23,2:25,0:05
12818,Jharkhand Swarna Jay...,2,SER,6,1,0,1,0,0,1,0,ALD,4:20,ANVT,4:25,3:43,0:05
12874,Jharkhand Swarna Jay...,2,SER,6,0,0,0,1,1,0,1,ALD,4:20,ANVT,4:25,0:28,0:05
12817,Jharkhand Swarna Jay...,2,SER,1,0,1,0,0,1,0,1,ALD,4:30,HTE,4:35,0:52,0:05
12873,Jharkhand Swarna Jay...,2,SER,3,0,0,1,1,0,1,0,ALD,4:30,HTE,4:35,0:22,0:05
19063,Udhna - Danapur Bi W...,3,WR,10,1,0,0,1,0,0,0,ALD,4:45,UDN,4:53,2:22,0:08
22434,Suhaildev SF Express...,2,NR,2,0,0,1,0,0,0,1,ALD,4:45,ANVT,4:50,1:00,0:05
2365,Patna - Anand Vihar ...,2,ECR,1,0,1,0,0,0,1,0,ALD,4:50,PNBE,4:55,3:34,0:05
12404,Jaipur - Allahabad S...*,2,NCR,1,1,1,1,1,1,1,1,ALD,4:55,JP,5:00,2:00,0:05
12402,Magadh Express (PT),2,NWR,4,1,1,1,1,1,1,1,ALD,5:05,NDLS,5:10,1:14,0:05
13007,Udyan Abha Toofan Ex...,3,ER,2,1,1,1,1,1,1,1,ALD,5:05,HWH,5:13,3:05,0:08
9017,Bandra Terminus - Al...*,3,WR,2,0,0,0,0,1,0,0,ALD,5:20,BDTS,5:28,2:23,0:08
19041,Bandra Terminus - Gh...,3,WR,2,1,0,1,0,0,0,0,ALD,5:20,BDTS,5:28,1:49,0:08
12942,Parasnath SF Express...,2,WR,2,0,0,0,0,0,1,0,ALD,5:30,ASN,5:35,1:23,0:05
12948,Azimabad SF Express ...,2,WR,2,0,0,0,0,1,0,1,ALD,5:30,PNBE,5:35,2:52,0:05
12562,Swatantrata Senani S...,2,ECR,7,1,1,1,1,1,1,1,ALD,5:30,NDLS,5:35,0:02,0:05
2366,Anand Vihar Terminal...,2,ECR,4,0,0,1,0,0,0,1,ALD,5:40,ANVT,5:45,3:22,0:05
12276,New Delhi - Allahaba...*,1,NCR,1,0,0,1,0,1,0,1,ALD,5:50,NDLS,5:53,1:47,0:03
1118,Gorakhpur - Mumbai L...,3,CR,2,0,0,0,0,0,1,0,ALD,5:50,GKP,5:58,0:02,0:08
4041,Jaynagar - Anand Vih...,3,NR,2,0,0,1,0,0,1,0,ALD,6:00,JYG,6:08,0:34,0:08
2266,Anand Vihar Terminal...,2,ER,4,0,1,0,0,0,0,0,ALD,6:05,ANVT,6:10,2:34,0:05
1055,Mumbai LTT - Varanas...,3,CR,2,0,0,0,1,0,0,0,ALD,6:20,LTT,6:28,0:43,0:08
1097,Mumbai LTT - Varanas...,3,CR,2,0,0,0,1,0,0,0,ALD,6:20,LTT,6:28,1:28,0:08
22104,Faizabad - Mumbai LT...,2,CR,8,0,0,0,1,0,0,0,ALD,6:35,FD,6:40,3:04,0:05
16794,Shraddha Sethu Expre...,3,SR,2,0,0,0,0,1,0,0,ALD,6:35,FD,6:43,0:33,0:08
12428,Anand Vihar Terminal...,2,NR,6,1,1,1,1,1,1,1,ALD,6:45,ANVT,6:50,0:23,0:05
11107,Bundelkhand Express,3,NCR,9,1,1,1,1,1,1,1,ALD,6:50,GWL,6:58,1:54,0:08
12418,Prayagraj Express*,2,NCR,1,1,1,1,1,1,1,1,ALD,6:50,NDLS,6:55,1:53,0:05
21107,Bundelkhand Link Exp...,3,NCR,9,0,1,0,1,0,0,1,ALD,6:50,KURJ,6:58,2:11,0:08
14116,Haridwar - Allahabad...*,3,NCR,10,0,0,1,0,1,0,1,ALD,7:05,HW,7:13,2:57,0:08
12802,Purushottam SF Expre...,2,ECoR,4,1,1,1,1,1,1,1,ALD,7:05,NDLS,7:10,2:16,0:05
15267,Raxaul - Mumbai LTT ...,3,ECR,9,1,0,0,0,0,0,0,ALD,7:15,RXL,7:23,1:58,0:08
22132,Manduadih - Pune Gya...,2,CR,9,0,0,0,1,0,0,0,ALD,7:15,MUV,7:20,0:33,0:05
11034,Darbhanga - Pune Gya...,3,CR,9,0,0,0,0,0,0,1,ALD,7:15,DBG,7:23,1:28,0:08
15559,Darbhanga - Ahmedaba...,3,ECR,9,0,0,0,0,1,0,0,ALD,7:15,DBG,7:23,3:48,0:08
12323,Howrah - Anand Vihar...,2,ER,2,0,0,0,1,0,0,1,ALD,7:45,HWH,7:50,2:41,0:05
12815,Nandan Kanan Express...,2,ECoR,2,1,0,1,0,1,1,0,ALD,7:45,PURI,7:50,3:01,0:05
12582,New Delhi - Manduadi...,2,NER,7,1,1,1,1,1,1,1,ALD,7:45,NDLS,7:50,2:48,0:05
1456,Manduadih - Pune Jan...,3,CR,2,0,0,0,0,0,0,1,ALD,7:45,MUV,7:53,0:41,0:08
14114,Link Express (Sangam...*,3,NCR,1,1,1,1,1,1,1,1,ALD,8:10,DDN,8:18,3:44,0:08
14164,Sangam Express*,3,NCR,1,1,1,1,1,1,1,1,ALD,8:10,MTC,8:18,2:46,0:08
14056,Brahmaputra Mail (PT...,3,NR,4,1,1,1,1,1,1,1,ALD,8:25,DLI,8:33,3:00,0:08
15017,Kashi Express (PT),3,NER,9,1,1,1,1,1,1,1,ALD,8:25,LTT,8:33,3:44,0:08
11039,SCSMT Kolhapur - Gor...,3,CR,9,1,1,1,1,1,1,1,ALD,8:25,KOP,8:33,2:21,0:08
14126,Saryu Express (UnRes...*,3,NCR,9,1,1,1,1,1,1,1,ALD,8:40,MUR,8:48,1:08,0:08
15004,Chauri Chaura Expres...,3,NER,8,1,1,1,1,1,1,1,ALD,8:40,GKP,8:48,0:06,0:08
15483,Sikkim Mahananda Exp...,3,NFR,3,1,1,1,1,1,1,1,ALD,8:40,APDJ,8:48,0:54,0:08
12350,New Delhi - Bhagalpu...,2,ER,4,0,0,0,1,0,0,0,ALD,8:45,NDLS,8:50,1:37,0:05
12502,Poorvottar Sampark K...,2,NFR,4,0,1,0,0,1,0,0,ALD,8:45,NDLS,8:50,0:03,0:05
15602,Poorvottar Sampark K...,2,NFR,2,0,0,0,0,0,1,0,ALD,8:45,NDLS,8:50,0:40,0:05
14020,Tripura Sundari Expr...,3,NR,6,0,0,1,0,0,0,0,ALD,8:45,ANVT,8:53,3:23,0:08
22129,Tulsi Express (PT)*,2,CR,8,0,1,0,1,0,0,0,ALD,8:50,LTT,8:55,3:23,0:05
18309,Sambalpur- Jammu Taw...,3,ECoR,3,1,1,1,1,1,1,1,ALD,8:55,SBP,9:03,2:21,0:08
12311,Kalka Mail (PT),2,ER,1,1,1,1,1,1,1,1,ALD,9:00,HWH,9:05,1:53,0:05
22428,Bhrigu SF Express,2,NR,6,1,0,0,0,0,0,0,ALD,9:00,ANVT,9:05,3:26,0:05
