No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage,Travel_Time
2111,Mumbai CSMT - Luckno...,1,CR,9,0,0,0,1,0,0,0,CNB,11:40,LKO,11:45,0:28,0:05,2:05
64210,Kanpur - Lucknow MEM...*,4,NR,8,1,1,1,1,1,1,1,CNB,11:55,LKO,12:00,1:24,0:05,6:10
15046,Okha - Gorakhpur Exp...,3,NER,5,0,0,1,0,0,0,0,CNB,12:10,LKO,12:25,0:25,0:15,3:10
19053,Surat - Muzaffarpur ...,3,WR,5,0,0,0,0,0,0,1,CNB,12:10,ALD,12:25,1:32,0:15,3:10
19410,Gorakhpur - Ahmedaba...,3,WR,7,1,0,0,0,0,0,1,CNB,12:10,TDL,12:25,1:30,0:15,3:10
22121,Mumbai LTT - Lucknow...,1,CR,8,1,0,0,0,0,0,0,CNB,12:10,LKO,12:15,0:44,0:05,2:05
2598,Mumbai CSMT - Gorakh...,2,NER,8,0,1,0,0,0,0,0,CNB,12:10,LKO,12:20,0:39,0:10,2:40
22922,Gorakhpur - Bandra T...,2,WR,7,0,0,1,0,0,0,0,CNB,12:10,JHS,12:20,0:24,0:10,3:50
15045,Gorakhpur - Okha Exp...,3,NER,7,0,0,0,0,1,0,0,CNB,12:15,TDL,12:30,0:13,0:15,3:10
19054,Muzaffarpur - Surat ...,2,WR,7,0,1,0,0,0,0,0,CNB,12:15,TDL,12:25,0:35,0:10,4:10
15269,Muzaffarpur - Ahmeda...,3,ECR,7,0,0,0,0,0,1,0,CNB,12:15,TDL,12:30,1:32,0:15,3:10
22432,Udhampur - Allahabad...,2,NCR,6,0,1,0,0,1,0,0,CNB,12:15,ALD,12:25,0:20,0:10,2:40
19409,Ahmedabad - Gorakhpu...,3,WR,8,0,0,0,0,0,1,1,CNB,12:20,LKO,12:35,1:27,0:15,3:10
12816,Nandan Kanan Express,2,ECoR,5,0,1,0,1,1,0,1,CNB,12:25,ALD,12:35,1:17,0:10,2:40
15483,Sikkim Mahananda Exp...,3,NFR,5,1,1,1,1,1,1,1,CNB,12:25,TDL,12:40,0:41,0:15,3:10
19709,Jaipur - Kamakhya Ka...,3,NWR,7,0,0,1,0,0,0,0,CNB,12:25,ALD,12:40,1:13,0:15,3:10
12311,Kalka Mail (PT),2,ER,1,1,1,1,1,1,1,1,CNB,12:35,TDL,12:45,0:35,0:10,2:40
18309,Sambalpur- Jammu Taw...,3,ECoR,2,1,1,1,1,1,1,1,CNB,12:35,TDL,12:50,1:10,0:15,3:10
12876,Neelachal (Neelancha...,2,ECoR,2,1,0,1,0,0,1,0,CNB,12:40,ALD,12:50,1:46,0:10,2:40
54155,Kanpur Central - Far...*,5,NCR,4,1,1,1,1,1,1,1,CNB,12:40,TDL,13:05,0:54,0:25,6:10
13168,Agra Cantt. - Kolkat...,3,ER,5,0,0,0,0,0,0,1,CNB,12:40,ALD,12:55,1:00,0:15,3:10
18101,Tatanagar-Jammu Tawi...,3,SER,7,1,1,1,1,1,1,1,CNB,12:45,TDL,13:00,1:24,0:15,3:10
18310,Jammu Tawi - Sambalp...,3,ECoR,3,1,1,1,1,1,1,1,CNB,12:45,ALD,13:00,0:55,0:15,3:10
18102,Jammu Tawi - Tatanag...,3,SER,4,1,1,1,1,1,1,1,CNB,12:45,ALD,13:00,1:35,0:15,3:10
18310,Jammu Tawi - Tatanag...,3,SER,2,1,1,1,1,1,1,1,CNB,12:45,ALD,13:00,1:54,0:15,3:10
12505,North East Express (...,2,NFR,4,1,1,1,1,1,1,1,CNB,12:55,TDL,13:05,1:55,0:10,2:40
12506,North East Express (...,2,NFR,7,1,1,1,1,1,1,1,CNB,12:55,TDL,13:05,1:42,0:10,2:40
19401,Ahmedabad - Lucknow ...,3,WR,8,0,0,1,0,0,0,0,CNB,12:55,LKO,13:10,0:42,0:15,3:10
14222,Kanpur Anwarganj - F...,3,NR,7,1,1,1,1,1,1,1,CNB,13:10,LKO,13:25,0:26,0:15,3:10
12591,Gorakhpur - Yesvantp...,2,NER,5,0,0,0,0,0,0,1,CNB,13:22,JHS,13:32,1:17,0:10,3:50
12511,Gorakhpur - Thiruvan...,2,NER,4,1,0,0,0,1,1,0,CNB,13:22,JHS,13:32,1:07,0:10,3:50
12521,Barauni - Ernakulam ...,2,ECR,5,0,0,1,0,0,0,0,CNB,13:22,JHS,13:32,1:26,0:10,3:50
12589,Gorakhpur - Secunder...,2,NER,4,0,0,0,1,0,0,0,CNB,13:22,JHS,13:32,2:00,0:10,3:50
15015,Gorakhpur - Yesvantp...,2,NER,5,0,1,0,0,0,0,0,CNB,13:22,JHS,13:32,1:11,0:10,4:10
12826,Jharkhand Sampark Kr...,2,SER,6,0,0,0,1,0,0,1,CNB,13:30,ALD,13:40,1:07,0:10,2:40
12820,Odisha Sampark Krant...,2,ECoR,1,0,0,1,0,0,1,0,CNB,13:30,ALD,13:40,1:14,0:10,2:40
22806,Anand Vihar Terminal...,2,ECoR,2,0,1,0,0,0,0,0,CNB,13:30,ALD,13:40,0:16,0:10,2:40
15030,Pune - Gorakhpur Ex...,3,NER,5,1,0,0,0,0,0,0,CNB,13:30,LKO,13:45,0:43,0:15,3:10
12173,Udyog Nagri Express,2,CR,5,0,1,0,1,0,0,0,CNB,13:35,LKO,13:45,0:44,0:10,2:40
12324,Anand Vihar Terminal...,2,ER,4,1,0,0,0,1,0,0,CNB,13:40,ALD,13:50,0:22,0:10,2:40
12396,Ziyarat Express,2,ECR,4,0,0,0,0,0,1,0,CNB,13:40,ALD,13:50,1:13,0:10,2:40
11123,Barauni - Gwalior Ma...,2,NCR,1,1,1,1,1,1,1,1,CNB,13:45,JHS,13:55,0:25,0:10,4:10
15270,Ahmedabad - Muzaffar...,3,ECR,5,0,1,0,0,0,0,0,CNB,13:50,ALD,14:05,1:44,0:15,3:10
12107,Mumbai LTT - Lucknow...,2,CR,7,1,0,1,0,1,0,0,CNB,13:50,LKO,14:00,0:26,0:10,2:40
12825,Jharkhand Sampark Kr...,2,SER,2,0,0,1,0,0,1,0,CNB,13:55,TDL,14:05,0:21,0:10,2:40
12819,Odisha Sampark Krant...,2,ECoR,4,0,1,0,0,1,0,0,CNB,13:55,TDL,14:05,0:49,0:10,2:40
12488,Seemanchal Express,2,NR,7,1,1,1,1,1,1,1,CNB,13:55,ALD,14:05,1:44,0:10,2:40
19716,Lucknow Jn. - Jaipur...,3,NWR,3,0,1,0,1,0,0,1,CNB,13:55,TDL,14:10,1:40,0:15,3:10
22805,Bhubaneswar - Anand ...,2,ECoR,2,1,0,0,0,0,0,0,CNB,13:55,TDL,14:05,0:26,0:10,2:40
12488,Seemanchal Link Expr...,2,NR,7,1,1,1,1,1,1,1,CNB,13:55,ALD,14:05,1:36,0:10,2:40
64212,Kanpur - Lucknow MEM...*,4,NR,8,1,1,1,1,1,1,1,CNB,14:05,LKO,14:10,0:58,0:05,6:10
64587,Kanpur - Tundla MEMU*,4,NCR,6,1,1,1,1,1,1,1,CNB,14:05,TDL,14:10,0:49,0:05,6:10
12496,Pratap Express (PT),2,NWR,4,0,0,0,0,0,0,1,CNB,14:15,TDL,14:25,1:53,0:10,2:40
12938,Garba SF Express (PT...,2,WR,5,0,0,1,0,0,0,0,CNB,14:15,ALD,14:25,0:21,0:10,2:40
15632,Guwahati - Barmer Ex...,3,NFR,2,1,0,0,0,0,1,0,CNB,14:15,TDL,14:30,1:42,0:15,3:10
15632,Guwahati - Bikaner L...,3,NFR,2,1,0,0,0,0,1,0,CNB,14:15,TDL,14:30,0:23,0:15,3:10
54212,Kanpur Central - Rae...*,5,NR,6,1,1,1,1,1,1,1,CNB,14:20,LKO,14:45,1:30,0:25,6:10
19306,Guwahati - Indore Ex...,2,WR,9,0,1,0,0,0,0,0,CNB,14:20,JHS,14:30,0:25,0:10,4:10
12312,Kalka Mail,2,ER,1,1,1,1,1,1,1,1,CNB,14:25,ALD,14:35,1:10,0:10,2:40
12487,Seemanchal Express,2,NR,1,1,1,1,1,1,1,1,CNB,14:25,TDL,14:35,1:40,0:10,2:40
22487,Seemanchal Link Expr...,2,NR,1,1,1,1,1,1,1,1,CNB,14:25,TDL,14:35,1:59,0:10,2:40
12987,Sealdah - Ajmer SF E...,2,NWR,5,1,1,1,1,1,1,1,CNB,14:40,ALD,14:50,0:55,0:10,2:40
54336,Kanpur - Balamau Pas...*,5,NR,9,1,1,1,1,1,1,1,CNB,14:40,LKO,15:05,1:10,0:25,6:10
64592,Kanpur Central - All...*,4,NCR,3,1,1,1,1,1,1,1,CNB,14:40,ALD,14:45,0:38,0:05,6:10
1454,Gorakhpur - Pune Jan...,2,CR,1,0,0,1,0,0,0,0,CNB,14:45,JHS,14:55,1:08,0:10,4:10
5705,Katihar - Delhi Cham...,2,NFR,1,0,0,0,1,0,0,0,CNB,15:00,TDL,15:10,0:48,0:10,2:40
22531,Chhapra - Mathura Ex...,2,NER,7,0,1,0,1,0,1,0,CNB,15:10,ALD,15:20,0:11,0:10,2:40
12307,Howrah - Jodhpur SF ...,2,ER,1,1,1,1,1,1,1,1,CNB,15:15,ALD,15:25,0:28,0:10,2:40
12307,Howrah - Bikaner SF ...,2,ER,1,1,1,1,1,1,1,1,CNB,15:15,TDL,15:25,0:21,0:10,2:40
12597,Gorakhpur - Mumbai C...,2,NER,7,0,0,1,0,0,0,0,CNB,15:15,JHS,15:25,1:28,0:10,3:50
2597,Gorakhpur - Mumbai C...,2,NER,7,0,0,0,0,0,0,1,CNB,15:15,JHS,15:25,0:20,0:10,3:50
15484,Sikkim Mahananda Exp...,3,NFR,5,1,1,1,1,1,1,1,CNB,15:20,ALD,15:35,1:06,0:15,3:10
12875,Neelachal (Neelancha...,2,ECoR,4,0,1,0,1,0,0,1,CNB,15:25,TDL,15:35,1:05,0:10,2:40
18631,Ranchi - Ajmer Garib...,3,SER,4,0,0,0,0,0,1,0,CNB,15:35,ALD,15:50,1:26,0:15,3:10
12143,Mumbai LTT - Sultanp...,2,CR,6,0,1,0,0,0,0,0,CNB,15:45,LKO,15:55,1:33,0:10,2:40
12103,Pune - Lucknow Jn. S...,2,CR,2,0,0,0,0,0,0,1,CNB,15:45,LKO,15:55,0:45,0:10,2:40
11079,Mumbai LTT - Gorakhp...,3,CR,1,0,0,0,0,0,1,0,CNB,15:45,LKO,16:00,1:15,0:15,3:10
12535,Lucknow Jn - Raipur ...,2,NER,1,0,1,0,0,1,0,0,CNB,15:50,ALD,16:00,1:20,0:10,2:40
24228,Varuna Express*,3,NR,4,1,0,1,1,0,1,1,CNB,16:00,ALD,16:15,0:54,0:15,3:10
15065,Gorakhpur - Panvel E...,2,NER,7,1,0,1,0,1,1,0,CNB,16:05,JHS,16:15,0:59,0:10,4:10
11080,Gorakhpur - Mumbai L...,2,CR,4,0,0,0,0,0,0,1,CNB,16:10,JHS,16:20,0:15,0:10,4:10
15063,Gorakhpur - Mumbai L...,2,NER,1,0,1,0,0,0,0,0,CNB,16:10,JHS,16:20,1:08,0:10,4:10
15067,Gorakhpur - Mumbai B...,2,NER,1,0,0,0,1,0,0,0,CNB,16:10,JHS,16:20,0:46,0:10,4:10
64252,Kanpur - Lucknow Jn ...*,4,NR,8,1,1,1,1,1,1,1,CNB,16:20,LKO,16:25,1:52,0:05,6:10
54162,Kanpur Central - Kha...*,5,NCR,5,1,1,1,1,1,1,1,CNB,16:20,ALD,16:45,1:19,0:25,6:10
54154,Kanpur Rae Bareli Pa...*,5,NCR,2,1,1,1,1,1,1,1,CNB,16:32,LKO,16:57,0:50,0:25,6:10
4112,Jammu Tawi - Allahab...,3,NCR,1,0,0,0,0,0,1,0,CNB,16:35,ALD,16:50,0:46,0:15,3:10
2112,Lucknow - Mumbai CSM...,2,CR,4,0,0,0,1,0,0,0,CNB,16:40,JHS,16:50,1:26,0:10,3:50
18192,Utsarg Express,3,SER,8,1,1,1,1,1,1,1,CNB,16:50,TDL,17:05,2:00,0:15,3:10
12003,Lucknow Jn - New Del...,1,NR,7,1,1,1,1,1,1,1,CNB,16:55,TDL,17:00,0:11,0:05,2:05
15064,Mumbai LTT - Gorakhp...,3,NER,9,0,0,0,1,0,0,0,CNB,17:05,LKO,17:20,2:00,0:15,3:10
64253,Lucknow Jn. - Kanpur...,4,NR,8,1,1,1,1,1,1,1,CNB,17:11,KAP,17:16,1:18,0:05,6:10
15102,Mumbai CSMT - Chhapr...,3,NER,5,0,0,0,0,0,0,1,CNB,17:15,ALD,17:30,1:16,0:15,3:10
19021,Mumbai Bandra (T.) -...,3,WR,5,1,0,0,0,0,0,0,CNB,17:15,LKO,17:30,0:41,0:15,3:10
12469,Kanpur - Jammu Tawi ...*,2,NR,6,0,0,0,1,0,1,0,CNB,17:20,TDL,17:30,0:17,0:10,2:40
22445,Kanpur - Amritsar SF...*,2,NCR,3,0,1,0,0,0,0,0,CNB,17:20,TDL,17:30,0:56,0:10,2:40
15003,Chauri Chaura Expres...,3,NER,2,1,1,1,1,1,1,1,CNB,17:25,LKO,17:40,1:51,0:15,3:10
14723,Kalindi Express (PT)*,3,NWR,9,1,1,1,1,1,1,1,CNB,17:25,TDL,17:40,1:23,0:15,3:10
12179,Lucknow Jn. - Agra C...,2,NCR,7,1,1,1,1,1,1,1,CNB,17:30,TDL,17:40,0:30,0:10,2:40
14124,Kanpur - Pratapgarh ...*,3,NCR,4,1,1,1,1,1,1,1,CNB,17:35,LKO,17:50,1:42,0:15,3:10
12398,Mahabodhi Express,2,ECR,6,1,1,1,1,1,1,1,CNB,17:40,ALD,17:50,0:16,0:10,2:40
4111,Allahabad - Jammu Ta...,3,NCR,1,0,0,0,1,0,0,0,CNB,17:40,TDL,17:55,0:55,0:15,3:10
22431,Allahabad - Udhampur...,2,NCR,1,0,0,1,0,0,0,1,CNB,17:40,TDL,17:50,0:53,0:10,2:40
12282,New Delhi - Bhubanes...,1,ECoR,1,0,0,0,0,1,0,0,CNB,17:53,ALD,17:58,0:40,0:05,2:05
12274,New Delhi - Howrah D...,1,ER,4,0,0,1,0,0,0,1,CNB,17:53,ALD,17:58,0:40,0:05,2:05
16094,Lucknow Jn. - Chenna...,2,SR,5,0,1,0,0,1,0,0,CNB,18:05,JHS,18:15,0:47,0:10,4:10
15023,Gorakhpur - Yesvantp...,2,NER,5,0,0,1,0,0,0,0,CNB,18:05,JHS,18:15,0:25,0:10,4:10
22122,Lucknow - Mumbai LTT...,2,CR,4,1,0,0,0,0,0,0,CNB,18:05,JHS,18:15,0:33,0:10,3:50
15066,Panvel - Gorakhpur E...,3,NER,2,1,0,1,0,1,0,1,CNB,18:05,LKO,18:20,1:21,0:15,3:10
64159,Kanpur Phaphund MEMU*,4,NCR,3,1,1,1,1,1,1,1,CNB,18:10,PHD,18:15,0:45,0:05,6:10
64594,Kanpur - Fatehpur ME...*,4,NCR,1,1,1,1,1,1,1,1,CNB,18:15,TDL,18:20,1:38,0:05,6:10
64214,Kalianpur - Lucknow ...,4,NR,8,1,1,1,1,1,1,1,CNB,18:17,LKO,18:22,1:29,0:05,6:10
18204,Betwa Express*,2,SECR,5,0,1,0,1,0,0,0,CNB,18:20,JHS,18:30,1:28,0:10,4:10
22443,Kanpur - Mumbai Band...*,2,NCR,2,0,0,0,1,0,0,0,CNB,18:20,JHS,18:30,0:52,0:10,3:50
11110,Lucknow Jn. - Jhansi...,2,NCR,1,1,1,1,1,1,1,1,CNB,18:30,JHS,18:40,1:50,0:10,4:10
11124,Gwalior - Barauni Ma...,3,NCR,6,1,1,1,1,1,1,1,CNB,18:35,ALD,18:50,1:10,0:15,3:10
4045,Gorakhpur - Anand Vi...,3,NR,1,0,1,0,0,0,0,0,CNB,18:35,TDL,18:50,1:51,0:15,3:10
64236,Kanpur Central - Bar...*,4,NR,8,1,1,1,1,1,1,0,CNB,18:50,LKO,18:55,1:39,0:05,6:10
13008,Udyan Abha Toofan Ex...,3,ER,3,1,1,1,1,1,1,1,CNB,18:55,ALD,19:10,0:40,0:15,3:10
51814,Lucknow-Jhansi Passe...,5,NCR,4,1,1,1,1,1,1,1,CNB,19:00,JHS,19:25,0:44,0:25,6:30
55327,Kanpur - Farrukhabad...*,5,NER,9,1,1,1,1,1,1,1,CNB,19:00,TDL,19:25,1:01,0:25,6:10
12947,Azimabad Express (PT...,2,WR,4,0,0,1,0,1,0,0,CNB,19:05,ALD,19:15,1:29,0:10,2:40
25631,Bikaner - Guwahati E...,3,NFR,5,0,1,0,1,0,0,0,CNB,19:05,TDL,19:20,0:26,0:15,3:10
15631,Barmer - Guwahati Ex...,3,NFR,5,0,1,0,1,0,0,0,CNB,19:05,TDL,19:20,1:49,0:15,3:10
64589,Kanpur Central - Pha...*,4,NCR,1,1,1,1,1,1,1,1,CNB,19:10,PHD,19:15,1:25,0:05,6:10
15205,Chitrakoot Express,3,ECR,2,1,1,1,1,1,1,1,CNB,19:15,ALD,19:30,1:25,0:15,3:10
16093,Chennai Central - Lu...,3,SR,6,1,0,0,1,0,0,0,CNB,19:15,LKO,19:30,1:35,0:15,3:10
4042,Anand Vihar Terminal...,3,NR,1,1,0,0,1,0,0,0,CNB,19:15,ALD,19:30,0:41,0:15,3:10
9013,Mumbai Central - Luc...,2,WR,1,0,0,0,0,0,1,0,CNB,19:15,LKO,19:25,1:12,0:10,2:40
82907,Mumbai Central - Luc...,2,WR,1,0,0,0,0,0,1,0,CNB,19:15,LKO,19:25,0:26,0:10,2:40
15706,Champaran Humsafar E...,2,NFR,1,0,0,1,0,0,1,0,CNB,19:15,ALD,19:25,1:37,0:10,2:40
15635,Dwarka Express (PT),3,NFR,7,0,0,0,0,0,0,1,CNB,19:30,TDL,19:45,0:11,0:15,3:10
15636,Dwarka Express (PT),3,NFR,7,0,0,1,0,0,0,0,CNB,19:30,TDL,19:45,0:51,0:15,3:10
15667,Gandhidham - Kamakhy...,3,NFR,7,1,0,0,0,0,0,0,CNB,19:30,ALD,19:45,1:13,0:15,3:10
15668,Kamakhya - Gandhidha...,3,NFR,7,0,0,0,0,1,0,0,CNB,19:30,TDL,19:45,1:02,0:15,3:10
15026,Anand Vihar Terminal...,3,NER,8,0,1,0,0,0,1,0,CNB,19:30,LKO,19:45,1:05,0:15,3:10
12420,Gomti Express,2,NR,8,1,1,1,1,1,1,1,CNB,19:55,LKO,20:05,0:30,0:10,2:40
15707,Amrapali Express (PT...,3,NFR,7,1,1,1,1,1,1,1,CNB,20:00,TDL,20:15,0:59,0:15,3:10
12941,Parasnath SF Express...,2,WR,2,0,0,0,1,0,0,0,CNB,20:05,ALD,20:15,1:44,0:10,2:40
12316,Ananya Express,2,ER,6,0,1,0,0,0,0,0,CNB,20:05,ALD,20:15,1:50,0:10,2:40
14217,Unchahar Express (PT...,3,NR,2,1,1,1,1,1,1,1,CNB,20:05,TDL,20:20,1:16,0:15,3:10
22969,Okha - Varanasi SF E...,2,WR,6,0,0,0,0,0,1,0,CNB,20:05,LKO,20:15,1:54,0:10,2:40
12495,Pratap SF Express,2,NWR,6,0,0,0,0,1,0,0,CNB,20:05,ALD,20:15,0:11,0:10,2:40
12937,Garba SF Express (PT...,2,WR,7,1,0,0,0,0,0,0,CNB,20:05,ALD,20:15,1:05,0:10,2:40
22858,Anand Vihar Terminal...,2,SER,1,0,0,1,0,0,0,0,CNB,20:05,JHS,20:15,0:21,0:10,3:50
9411,Ahmedabad - Patna A...,2,WR,1,0,0,1,0,0,0,0,CNB,20:15,ALD,20:15,1:26,0:10,
12566,Bihar Sampark Kranti...,2,ECR,8,1,1,1,1,1,1,1,CNB,20:20,ALD,20:30,0:35,0:10,2:40
64255,Lucknow Jn - Kalianp...,4,NR,8,1,1,1,1,1,1,1,CNB,20:25,KAP,20:30,1:31,0:05,6:10
12368,Vikramshila Express ...,2,ER,6,1,1,1,1,1,1,1,CNB,20:35,ALD,20:45,0:27,0:10,2:40
2412,Arunachal AC SF Spec...,1,NR,9,0,0,0,0,1,0,0,CNB,20:40,ALD,20:45,1:42,0:05,2:05
15025,Mau - Anand Vihar Te...,3,NER,8,1,0,1,0,0,0,0,CNB,20:45,TDL,21:00,0:26,0:15,3:10
1453,Pune - Gorakhpur Jan...,3,CR,1,0,1,0,0,0,0,0,CNB,20:55,LKO,21:10,1:09,0:15,3:10
9412,Patna - Ahmedabad We...,2,WR,1,0,0,0,1,0,0,0,CNB,20:55,TDL,20:55,0:34,0:10,
22412,New Delhi - Naharlag...,1,NR,9,1,0,0,0,0,0,0,CNB,20:55,ALD,21:00,0:54,0:05,2:05
12440,New Delhi - Ranchi R...,1,SER,4,0,1,0,0,0,1,0,CNB,21:00,ALD,21:05,0:43,0:05,2:05
12454,New Delhi - Ranchi R...,1,NR,4,0,0,0,1,0,0,1,CNB,21:00,ALD,21:05,0:53,0:05,2:05
12878,New Delhi - Ranchi G...,2,SER,5,1,0,1,0,1,0,0,CNB,21:00,ALD,21:10,1:53,0:10,2:40
12424,New Delhi - Dibrugar...,1,NR,5,1,1,1,1,1,1,1,CNB,21:10,ALD,21:15,0:22,0:05,2:05
13413,Farakka Express (via...,3,ER,6,1,0,1,0,0,1,0,CNB,21:15,TDL,21:30,1:35,0:15,3:10
13483,Farakka Express (via...,3,ER,7,0,1,0,1,1,0,1,CNB,21:15,TDL,21:30,1:09,0:15,3:10
12314,New Delhi - Sealdah ...,1,ER,7,1,1,1,1,1,1,1,CNB,21:20,ALD,21:25,0:52,0:05,2:05
14163,Sangam Express,3,NCR,1,1,1,1,1,1,1,1,CNB,21:25,TDL,21:40,1:01,0:15,3:10
14163,Link Express (Sangam...,3,NCR,1,1,1,1,1,1,1,1,CNB,21:25,TDL,21:40,1:22,0:15,3:10
14113,Link Express (Sangam...,3,NCR,1,1,1,1,1,1,1,1,CNB,21:25,TDL,21:40,0:32,0:15,3:10
12533,Pushpak Express (PT),2,NER,4,1,1,1,1,1,1,1,CNB,21:32,JHS,21:42,1:15,0:10,3:50
64216,Kalianpur - Lucknow ...,4,NR,8,1,1,1,1,1,1,1,CNB,21:35,LKO,21:40,0:50,0:05,6:10
12302,New Delhi - Howrah R...,1,ER,6,1,1,1,1,1,0,1,CNB,21:40,ALD,21:45,0:45,0:05,2:05
12306,New Delhi - Howrah R...,1,ER,6,0,0,0,0,0,1,0,CNB,21:40,ALD,21:45,0:21,0:05,2:05
22812,New Delhi - Bhubanes...,1,ECoR,5,0,1,0,0,0,1,0,CNB,21:50,ALD,21:55,0:30,0:05,2:05
22824,New Delhi - Bhubanes...,1,ECoR,5,0,0,1,1,1,0,1,CNB,21:50,ALD,21:55,1:36,0:05,2:05
20818,New Delhi - Bhubanes...,1,ECoR,1,1,0,0,0,0,0,0,CNB,21:50,ALD,21:55,1:11,0:05,2:05
12310,New Delhi - Rajendra...,1,ECR,4,1,1,1,1,1,1,1,CNB,22:00,ALD,22:05,1:49,0:05,2:05
12801,Purushottam SF Expre...,2,ECoR,1,1,1,1,1,1,1,1,CNB,22:10,TDL,22:20,0:59,0:10,2:40
64254,Kanpur - Lucknow Jn....*,4,NR,6,1,1,1,1,1,1,1,CNB,22:15,LKO,22:20,1:01,0:05,6:10
12570,Anand Vihar Terminal...,2,ECR,4,0,0,1,0,0,0,1,CNB,22:17,ALD,22:27,1:10,0:10,2:40
22406,Anand Vihar (T) - Bh...,2,NR,4,0,1,0,1,0,1,0,CNB,22:17,ALD,22:27,0:31,0:10,2:40
12397,Mahabodhi Express (P...,2,ECR,1,1,1,1,1,1,1,1,CNB,22:20,TDL,22:30,1:05,0:10,2:40
14005,Lichchavi Express,3,NR,4,1,1,1,1,1,1,1,CNB,22:30,TDL,22:45,1:24,0:15,3:10
55326,Kasganj - Lucknow Jn...,5,NER,9,1,1,1,1,1,1,1,CNB,22:30,LKO,22:55,0:18,0:25,6:10
12394,Sampoorna Kranti Exp...,2,ECR,4,1,1,1,1,1,1,1,CNB,22:33,ALD,22:43,0:37,0:10,2:40
19038,Gorakhpur - Bandra T...,2,WR,9,0,1,0,1,0,1,1,CNB,22:37,JHS,22:47,1:42,0:10,4:10
19040,Muzaffarpur - Bandra...,2,WR,9,1,0,1,0,1,0,0,CNB,22:37,JHS,22:47,0:12,0:10,4:10
14055,Brahmaputra Mail (PT...,3,NR,3,1,1,1,1,1,1,1,CNB,22:45,TDL,23:00,1:08,0:15,3:10
4043,Gaya - Anand Vihar T...,3,NR,1,0,0,0,0,0,1,0,CNB,22:50,TDL,23:05,0:28,0:15,3:10
12565,Bihar Sampark Kranti...,2,ECR,7,1,1,1,1,1,1,1,CNB,22:58,TDL,23:08,1:05,0:10,2:40
15708,Amrapali Express,3,NFR,8,1,1,1,1,1,1,1,CNB,23:00,ALD,23:15,1:26,0:15,3:10
12304,Poorva Express (via ...,2,ER,5,1,0,0,1,1,0,1,CNB,23:10,ALD,23:20,0:33,0:10,2:40
12382,Poorva Express (via ...,2,ER,4,0,1,1,0,0,1,0,CNB,23:10,ALD,23:20,1:17,0:10,2:40
4186,Patna - Jhansi Summe...,2,NCR,1,0,0,0,0,1,0,0,CNB,23:10,JHS,23:20,1:46,0:10,4:10
19165,Ahmedabad - Darbhang...,3,WR,6,0,1,0,0,1,0,1,CNB,23:20,ALD,23:35,1:05,0:15,3:10
19167,Ahmedabad - Varanasi...,3,WR,6,1,0,1,1,0,1,0,CNB,23:20,LKO,23:35,1:39,0:15,3:10
12988,Ajmer - Sealdah SF E...,2,NWR,5,1,1,1,1,1,1,1,CNB,23:25,ALD,23:35,0:11,0:10,2:40
12555,Gorakhdham SF Expres...,2,NER,7,1,1,1,1,1,1,1,CNB,23:28,TDL,23:38,1:19,0:10,2:40
14006,Lichchavi Express (P...,3,NR,5,1,1,1,1,1,1,1,CNB,23:35,ALD,23:50,1:54,0:15,3:10
12427,Rewa - Anand Vihar T...,2,NR,3,1,1,1,1,1,1,1,CNB,23:35,TDL,23:45,1:03,0:10,2:40
12451,Shram Shakti Express...*,2,NCR,1,1,1,1,1,1,1,1,CNB,23:45,TDL,23:55,1:12,0:10,2:40
12553,Vaishali SF Express ...,2,ECR,9,1,1,1,1,1,1,1,CNB,23:50,TDL,0:00,0:20,0:10,2:40
