No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
22129,Tulsi Express (PT),2,CR,7,0,1,0,1,0,0,0,JHS,0:05,LTT,0:10,3:15,0:05
15016,Yesvantpur - Gorakhp...,3,NER,2,0,0,0,0,0,0,1,JHS,0:05,YPR,0:15,1:22,0:10
8791,Durg - Jammu Tawi We...,3,SECR,2,1,0,0,0,0,0,0,JHS,0:05,DURG,0:15,1:45,0:10
8792,Jammu Tawi - Durg We...,3,SECR,2,0,0,1,0,0,0,0,JHS,0:10,JAT,0:20,2:14,0:10
22706,Jammu Tawi - Tirupat...,2,SCR,2,0,0,0,0,0,0,1,JHS,0:10,JAT,0:15,1:45,0:05
12621,Tamil Nadu SF Expres...,2,SR,4,1,1,1,1,1,1,1,JHS,0:16,MAS,0:21,1:53,0:05
51814,Lucknow-Jhansi Passe...*,5,NCR,2,1,1,1,1,1,1,1,JHS,0:25,LKO,0:45,1:44,0:20
12171,Mumbai LTT - Haridwa...,2,CR,4,0,0,1,0,0,1,0,JHS,0:28,LTT,0:33,3:32,0:05
22455,Sainagar Shirdi - Ka...,2,NR,4,1,0,0,1,0,0,0,JHS,0:28,SNSI,0:33,0:14,0:05
18215,Durg - Jammu Tawi Ex...,3,SECR,4,0,0,0,0,1,0,0,JHS,0:28,DURG,0:38,2:00,0:10
2171,Mumbai CSMT - Jammu ...,2,CR,2,0,0,0,0,0,0,1,JHS,0:30,CSMT,0:35,1:05,0:05
12405,Bhusaval - Hazrat Ni...,2,NR,5,0,1,0,1,0,0,0,JHS,0:40,BSL,0:45,3:59,0:05
12409,Raigarh - H.Nizamudd...,2,NR,5,1,0,1,0,1,1,1,JHS,0:40,RIG,0:45,3:21,0:05
22691,KSR Bengaluru - Hazr...,1,SWR,4,1,1,1,1,1,1,1,JHS,0:51,SBC,0:54,0:40,0:03
12616,Grand Trunk (GT) Exp...,2,SR,1,1,1,1,1,1,1,1,JHS,0:55,DEE,1:00,2:41,0:05
12213,Yesvantpur - Delhi S...,1,SWR,4,0,1,0,0,0,0,0,JHS,1:01,YPR,1:04,3:25,0:03
2172,Jammu Tawi - Mumbai...,2,CR,2,0,1,0,0,0,0,0,JHS,1:10,JAT,1:15,2:11,0:05
22692,Hazrat Nizamuddin - ...,1,SWR,2,1,1,1,1,1,1,1,JHS,1:15,NZM,1:18,1:50,0:03
12533,Pushpak Express (PT),2,NER,3,1,1,1,1,1,1,1,JHS,1:30,LJN,1:35,1:22,0:05
12155,Shaan-E-Bhopal SF Ex...,2,WCR,3,1,1,1,1,1,1,1,JHS,1:35,HBJ,1:40,0:06,0:05
22130,Tulsi Express (PT),2,CR,2,0,0,1,0,1,0,0,JHS,1:50,ALD,1:55,0:28,0:05
12534,Pushpak Express (PT),2,NER,1,1,1,1,1,1,1,1,JHS,1:58,CSMT,2:03,0:01,0:05
12448,Uttar Pradesh Sampar...,2,NR,1,1,1,1,1,1,1,1,JHS,2:05,NZM,2:10,1:44,0:05
12448,Uttar Pradesh Sampar...,2,NR,1,1,1,1,1,1,1,1,JHS,2:05,NZM,2:10,1:54,0:05
12723,Telangana Express (P...,2,SCR,5,1,1,1,1,1,1,1,JHS,2:08,HYB,2:13,3:03,0:05
12823,Chhattisgarh Sampark...,2,SECR,4,1,0,1,0,0,1,0,JHS,2:30,DURG,2:35,2:07,0:05
12121,Madhya Pradesh Sampa...,2,WCR,4,0,1,0,0,1,0,1,JHS,2:30,JBP,2:35,1:02,0:05
12549,Durg - Jammu Tawi (W...,2,SECR,4,0,0,0,1,0,0,0,JHS,2:30,DURG,2:35,0:05,0:05
12156,Shaan E Bhopal SF Ex...,2,WCR,2,1,1,1,1,1,1,1,JHS,2:33,NZM,2:38,1:13,0:05
12920,Malwa SF Express,2,WR,3,1,1,1,1,1,1,1,JHS,2:35,SVDK,2:40,0:48,0:05
12649,Karnataka Sampark Kr...,2,SWR,4,1,1,1,1,0,1,0,JHS,2:50,YPR,2:55,2:29,0:05
22705,Tirupati - Jammu Taw...,2,SCR,4,0,0,0,0,1,0,0,JHS,2:50,TPTY,2:55,3:56,0:05
12628,Karnataka Express (P...,2,SWR,2,1,1,1,1,1,1,1,JHS,2:54,NDLS,2:59,0:33,0:05
19053,Surat - Muzaffarpur ...,3,WR,4,0,0,0,0,0,0,1,JHS,3:00,ST,3:10,0:52,0:10
15046,Okha - Gorakhpur Exp...,3,NER,4,0,0,1,0,0,0,0,JHS,3:05,OKHA,3:15,0:43,0:10
14309,Ujjaini Express,3,NR,5,0,0,0,0,1,1,0,JHS,3:05,UJN,3:15,1:54,0:10
14313,Mumbai LTT - Bareill...,3,NR,4,0,0,1,0,0,0,0,JHS,3:15,LTT,3:25,0:19,0:10
12594,Bhopal - Lucknow Jn ...,2,NER,4,0,1,0,0,0,0,0,JHS,3:15,BPL,3:20,1:28,0:05
14319,Indore - Bareilly We...,3,NR,5,0,0,0,0,0,1,0,JHS,3:15,INDB,3:25,0:29,0:10
15068,Mumbai Bandra T - Go...,3,NER,2,0,0,0,0,0,0,1,JHS,3:15,BDTS,3:25,2:22,0:10
12162,Lashkar SF Express (...,2,CR,3,1,0,0,0,0,0,0,JHS,3:25,AGC,3:30,0:56,0:05
18216,Jammu Tawi - Durg Ex...,3,SECR,3,0,0,0,0,0,0,1,JHS,3:25,JAT,3:35,3:52,0:10
12627,Karnataka Express (P...,2,SWR,5,1,1,1,1,1,1,1,JHS,3:33,SBC,3:38,2:51,0:05
12184,Pratapgarh - Bhopal ...,2,WCR,1,1,0,1,0,1,0,0,JHS,3:35,PBH,3:40,1:39,0:05
12108,Lucknow Jn. - Mumbai...,2,CR,1,0,1,0,1,0,1,0,JHS,3:35,LJN,3:40,2:44,0:05
9014,Lucknow Jn - Mumbai ...,2,WR,2,0,0,0,0,0,0,1,JHS,3:35,LJN,3:40,2:44,0:05
82908,Lucknow Jn - Mumbai ...,2,WR,2,0,0,0,0,0,0,1,JHS,3:35,LJN,3:40,0:41,0:05
12189,Mahakaushal Express ...,2,WCR,4,1,1,1,1,1,1,1,JHS,3:57,JBP,4:02,0:41,0:05
12622,Tamil Nadu SF Expres...,2,SR,2,1,1,1,1,1,1,1,JHS,3:58,NDLS,4:03,0:18,0:05
12192,Shridham SF Express ...,2,WCR,5,1,1,1,1,1,1,1,JHS,4:00,JBP,4:05,1:23,0:05
12590,Secunderabad - Gorak...,2,NER,4,0,0,0,0,0,0,1,JHS,4:18,SC,4:23,1:13,0:05
12592,Yesvantpur - Gorakhp...,2,NER,2,0,0,0,1,0,0,0,JHS,4:18,YPR,4:23,3:26,0:05
12512,Thiruvananthapuram -...,2,NER,2,0,0,1,0,1,1,0,JHS,4:18,TVC,4:23,0:17,0:05
12522,Ernakulam - Barauni ...,2,ECR,5,1,0,0,0,0,0,0,JHS,4:18,ERS,4:23,2:01,0:05
12214,Delhi Sarai Rohilla ...,1,SWR,2,0,0,1,0,0,0,0,JHS,4:20,DEE,4:23,2:02,0:03
19314,Rajendranagar Termin...,3,WR,1,0,0,0,0,0,0,1,JHS,4:25,RJPB,4:35,1:01,0:10
9308,Patna - Indore Summe...,3,WR,2,0,0,0,0,1,0,0,JHS,4:25,PNBE,4:35,3:28,0:10
12593,Lucknow Jn - Bhopal ...,2,NER,3,1,0,0,0,0,0,0,JHS,4:25,LJN,4:30,0:27,0:05
15029,Gorakhpur - Pune Wee...,3,NER,1,0,0,0,0,0,1,0,JHS,4:25,GKP,4:35,3:54,0:10
19322,Rajendra Nagar Termi...,3,WR,2,0,0,1,0,0,0,0,JHS,4:37,RJPB,4:47,3:43,0:10
12485,Hazur Sahib Nanded -...,2,NWR,5,0,1,1,0,0,1,0,JHS,4:40,NED,4:45,0:28,0:05
12421,Hazur Sahib Nanded -...,2,NR,2,0,0,0,0,1,0,0,JHS,4:40,NED,4:45,3:11,0:05
22457,Hazur Sahib Nanded -...,2,NR,5,1,0,0,0,0,0,0,JHS,4:40,NED,4:45,0:57,0:05
11058,Amritsar - Mumbai CS...,3,CR,2,1,1,1,1,1,1,1,JHS,4:50,ASR,5:00,3:27,0:10
12715,Sachkhand Express (P...,2,SCR,4,1,1,1,1,1,1,1,JHS,4:55,NED,5:00,0:59,0:05
12542,Mumbai LTT - Gorakhp...,2,NER,3,1,1,1,1,1,1,1,JHS,5:15,LTT,5:20,0:07,0:05
12722,Dakshin SF Express (...,2,SCR,3,1,1,1,1,1,1,1,JHS,5:20,NZM,5:25,3:12,0:05
12722-Slip,Dakshin Link SF Expr...,2,ECoR,3,1,1,1,1,1,1,1,JHS,5:20,NZM,5:25,1:57,0:05
12611,Chennai Central - Ha...,2,SR,4,1,0,0,0,0,0,0,JHS,5:26,MAS,5:31,1:14,0:05
12433,Chennai Central - Ha...,1,NR,4,0,1,0,0,0,0,1,JHS,5:26,MAS,5:29,1:02,0:03
12437,Secunderabad - Hazra...,1,NR,4,0,0,0,0,1,0,0,JHS,5:26,SC,5:29,2:07,0:03
12441,Bilaspur - New Delhi...,1,NR,4,0,0,1,0,0,1,0,JHS,5:26,BSP,5:29,2:21,0:03
22109,Mumbai LTT - Hazrat ...,2,CR,4,0,0,0,1,0,0,0,JHS,5:26,LTT,5:31,0:15,0:05
19168,Varanasi - Ahmedabad...,3,WR,1,0,1,0,1,0,1,1,JHS,5:30,BSB,5:40,0:58,0:10
19166,Darbhanga - Ahmedaba...,3,WR,1,1,0,1,0,1,0,0,JHS,5:35,DBG,5:45,0:07,0:10
12486,Shri Ganganagar - Ha...,2,NWR,2,1,0,0,1,0,0,1,JHS,5:45,SGNR,5:50,1:24,0:05
12269,Chennai Central - Ha...,1,SR,5,0,0,1,0,0,0,1,JHS,5:45,MAS,5:48,2:43,0:03
12285,Secunderabad - Hazra...,1,SCR,4,0,1,0,0,0,1,0,JHS,5:45,SC,5:48,0:23,0:03
22404,New Delhi - Puducher...,2,NR,2,0,1,0,0,0,0,0,JHS,5:45,NDLS,5:50,3:24,0:05
12422,Amritsar - Hazur Sah...,2,NR,1,0,0,1,0,0,0,0,JHS,5:45,ASR,5:50,1:18,0:05
22458,Una Himachal - Hazur...,2,NR,2,0,0,0,0,0,1,0,JHS,5:45,UHL,5:50,3:28,0:05
12629,Karnataka Sampark Kr...,2,SWR,5,0,0,0,0,1,0,1,JHS,6:00,YPR,6:05,3:06,0:05
22685,Yesvantpur - Chandig...,2,SWR,2,0,1,0,0,0,1,0,JHS,6:00,YPR,6:05,3:20,0:05
22125,Nagpur - Amritsar AC...,2,CR,3,1,0,0,0,0,0,0,JHS,6:00,NGP,6:05,1:54,0:05
12172,Haridwar - Mumbai LT...,2,CR,2,0,0,0,1,0,0,1,JHS,6:15,HW,6:20,2:12,0:05
22456,Kalka - Sai Nagar Sh...,2,NR,2,0,1,0,0,0,1,0,JHS,6:15,KLK,6:20,2:46,0:05
22168,Hazrat Nizamuddin - ...,2,WCR,2,0,0,1,0,0,0,0,JHS,6:15,NZM,6:20,3:07,0:05
18477,Kalinga Utkal Expres...,3,ECoR,4,1,1,1,1,1,1,1,JHS,6:30,PURI,6:40,0:17,0:10
11104,Mumbai Bandra Termin...*,3,NCR,3,0,0,0,1,1,0,0,JHS,6:40,BDTS,6:50,2:27,0:10
4186,Patna - Jhansi Summe...*,3,NCR,2,0,0,0,0,0,1,0,JHS,6:40,PNBE,6:50,3:35,0:10
12617,Mangala Lakshadweep ...,2,SR,5,1,1,1,1,1,1,1,JHS,6:45,ERS,6:50,3:51,0:05
12625,Kerala Express (PT),2,SR,5,1,1,1,1,1,1,1,JHS,6:55,TVC,7:00,1:02,0:05
11108,Bundelkhand Express,3,NCR,5,1,1,1,1,1,1,1,JHS,7:05,BSB,7:15,1:07,0:10
11016,Kushinagar Express (...,3,CR,1,1,1,1,1,1,1,1,JHS,7:05,GKP,7:15,3:20,0:10
22121,Mumbai LTT - Lucknow...,2,CR,4,1,0,0,0,0,0,0,JHS,7:25,LTT,7:30,2:28,0:05
12598,Mumbai CSMT - Gorakh...,2,NER,4,0,0,0,0,1,0,0,JHS,7:25,CSMT,7:30,3:32,0:05
2598,Mumbai CSMT - Gorakh...,2,NER,2,0,1,0,0,0,0,0,JHS,7:25,CSMT,7:30,0:59,0:05
2111,Mumbai CSMT - Luckno...,2,CR,5,0,0,0,1,0,0,0,JHS,7:25,CSMT,7:30,2:32,0:05
12647,Kongu SF Express,2,SR,6,0,0,1,0,0,0,0,JHS,7:35,CBE,7:40,1:41,0:05
15024,Yesvantpur - Gorakhp...,3,NER,5,0,0,0,0,0,0,1,JHS,7:35,YPR,7:45,1:32,0:10
18507,Hirakud (Hirakund) E...,3,ECoR,4,1,0,0,1,0,0,1,JHS,7:45,VSKP,7:55,3:04,0:10
15030,Pune - Gorakhpur Ex...,3,NER,3,1,0,0,0,0,0,0,JHS,8:45,PUNE,8:55,2:47,0:10
12176,Gwalior - Howrah Cha...,2,NCR,2,0,0,1,0,1,0,1,JHS,8:50,GWL,8:55,1:39,0:05
12178,Mathura - Howrah Cha...,2,NCR,3,0,1,0,0,0,0,0,JHS,8:50,MTJ,8:55,2:19,0:05
11105,Pratham Swatantrata ...*,3,NCR,7,0,1,0,0,0,0,0,JHS,8:50,KOAA,9:00,3:37,0:10
1708,Atari - Jabalpur Spe...,3,WCR,2,0,1,0,0,1,0,0,JHS,9:05,ATT,9:15,0:39,0:10
12107,Mumbai LTT - Lucknow...,2,CR,1,1,0,1,0,1,0,0,JHS,9:10,LTT,9:15,2:08,0:05
12173,Udyog Nagri Express,2,CR,4,0,1,0,1,0,0,0,JHS,9:10,LTT,9:15,0:55,0:05
12161,Lashkar SF Express,2,CR,7,0,0,0,0,0,0,1,JHS,9:30,LTT,9:35,1:41,0:05
12541,Gorakhpur - Mumbai L...,2,NER,1,1,1,1,1,1,1,1,JHS,9:30,GKP,9:35,3:08,0:05
51827,Itarsi - Jhansi Pass...*,5,NCR,4,1,1,1,1,1,1,1,JHS,9:50,ET,10:10,3:51,0:20
51806,Manikpur - Jhansi Pa...*,5,NCR,6,1,1,1,1,1,1,1,JHS,10:05,MKP,10:25,3:17,0:20
11802,Etawah - Jhansi Link...*,3,NCR,2,0,1,1,1,1,1,1,JHS,10:05,ETW,10:15,0:28,0:10
21802,Indore - Gwalior - J...*,3,NCR,2,0,1,1,0,1,1,0,JHS,10:05,INDB,10:15,1:37,0:10
12144,Sultanpur - Mumbai L...,2,CR,5,0,0,1,0,0,0,0,JHS,10:10,SLN,10:15,3:38,0:05
12807,Samta Express,2,ECoR,4,1,1,0,1,1,1,0,JHS,10:18,VSKP,10:23,1:58,0:05
12645,Millennium SF Expres...,2,SR,6,0,1,0,0,0,0,0,JHS,10:28,ERS,10:33,1:02,0:05
12147,SCSMT Kolhapur - Haz...,2,CR,5,0,0,0,1,0,0,0,JHS,10:28,KOP,10:33,3:22,0:05
12643,Thiruvananthapuram C...,2,SR,4,0,0,0,0,1,0,0,JHS,10:28,TVC,10:33,1:51,0:05
12781,Mysuru - Delhi Hazra...,2,SWR,5,1,0,0,0,0,0,0,JHS,10:28,MYS,10:33,3:21,0:05
12803,Visakhapatnam - Hazr...,2,ECoR,5,0,0,1,0,0,0,1,JHS,10:28,VSKP,10:33,1:57,0:05
12002,New Delhi - Bhopal H...,1,NR,1,1,1,1,1,1,1,1,JHS,10:43,NDLS,10:46,2:17,0:03
12103,Pune - Lucknow Jn. S...,2,CR,4,0,0,0,0,0,0,1,JHS,11:00,PUNE,11:05,2:32,0:05
11079,Mumbai LTT - Gorakhp...,3,CR,5,0,0,0,0,0,1,0,JHS,11:00,LTT,11:10,2:10,0:10
51832,Agra Cantt - Jhansi ...*,5,NCR,3,1,1,1,1,1,1,1,JHS,11:25,AGC,11:45,0:08,0:20
12143,Mumbai LTT - Sultanp...,2,CR,3,0,1,0,0,0,0,0,JHS,11:35,LTT,11:40,3:06,0:05
15102,Mumbai CSMT - Chhapr...,3,NER,2,0,0,0,0,0,0,1,JHS,11:35,CSMT,11:45,0:02,0:10
15064,Mumbai LTT - Gorakhp...,3,NER,4,0,0,0,1,0,0,0,JHS,11:35,LTT,11:45,0:13,0:10
12174,Udyog Nagri Express,2,CR,2,0,0,1,0,1,0,0,JHS,11:40,PBH,11:45,0:19,0:05
12104,Lucknow Jn - Pune SF...,2,CR,1,1,0,0,0,0,0,0,JHS,11:45,LJN,11:50,1:45,0:05
15101,Chhapra - Mumbai CSM...,3,NER,2,0,0,0,1,0,0,0,JHS,11:45,CPR,11:55,1:35,0:10
12944,Udyogkarmi Express (...,2,WR,1,0,0,0,0,0,1,0,JHS,11:53,CNB,11:58,2:36,0:05
12707,Andhra Pradesh Sampa...,2,SCR,4,0,0,1,0,1,0,1,JHS,12:00,TPTY,12:05,3:51,0:05
12651,Tamil Nadu Sampark K...,2,SR,4,0,1,0,1,0,0,0,JHS,12:00,MDU,12:05,2:46,0:05
12641,Thirukkural SF Expre...,2,SR,5,1,0,0,0,0,1,0,JHS,12:00,CAPE,12:05,2:50,0:05
12650,Karnataka Sampark Kr...,2,SWR,2,1,1,1,0,1,0,1,JHS,12:05,NZM,12:10,2:57,0:05
22415,Andhra Pradesh AC SF...,2,NR,5,1,1,1,1,1,1,1,JHS,12:10,VSKP,12:15,3:22,0:05
